skuagr_2,descriprod_agrp2,lineaproducto,grupo_producto,sub_grupo_1,sub_grupo_2,cobertura_contrato,perfil_terapeutico,atc,base_pbs,grupo_riesgo
100094545G5,ADAPALENO (0.1%) 0.1 GR /100 GR  GEL TOPICO,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA TOPICA,P B S,DERMATOLOGICOS,D10AD03,INCLUSION 2022,199
100095245G5,ADAPALENO (0.3%) 0.3 GR /100 GR  GEL TOPICO,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA TOPICA,P B S,DERMATOLOGICOS,D10AD03,INCLUSION 2022,199
100122237G5,DESONIDA (0.05%) 0.05 GR/100 GR  CREMA TOPICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA TOPICA,P B S,DERMATOLOGICOS,D07AB08,INCLUSION 2022,199
100192837G5,DESONIDA (0.01%) 0.01 GR/100 GR  CREMA TOPICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA TOPICA,P B S,DERMATOLOGICOS,D07AB08,INCLUSION 2022,199
100274158G5,ALGLUCOSIDASA ALFA 50 MG  POLVO PARA RECONSTIT INYECTABLE,GENERICOS,ALTO COSTO,MX_AP_ESP,TERAPIA INYECTABLE,NO PBS,ENF. HUERFANAS,A16AB07,NO PBS,199
100375875G5,CEFUROXIMA 500 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,ANTIINFECCIOSOS,J01DC02,PBS 2021,199
100394675G5,CEFUROXIMA 700 MG  TABLETA,GENERICOS,PRIMER NIVEL,HOSPITALARIO,MEDICAMENTOS,P B S,ANTIINFECCIOSOS,J01DA06,PBS 2021,199
100494768G5,BROMFENACO (0.09%) 0.9 MG/ML  SOLUCION OFTALMICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA OFTALMICA,P B S,OFTALMICOS,S01BC11,INCLUSION 2022,199
100594837G5,MUPIROCINA (2%) 2 GR + CLOTRIMAZOL (1%) 1 GR + MOMETASONA (0.1%) 0.1 GR (/100 GR)  CREMA TOPICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA TOPICA,P B S,ANTIINFECCIOSOS,D01AC01,INCLUSION 2022,199
100694937G5,FLUOCINOLONA  0.01 GR + HIDROQUINONA 4 GR + TRETINOINA 0.05 GR (7100 GR)  CREMA TOPICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA TOPICA,P B S,DERMATOLOGICOS,D07XB30,INCLUSION 2022,199
100777734G5,BARRERA DE COLOSTOMIA FLEXIBLE 57 MM  (DMC),GENERICOS,ALTO COSTO,DISPOSITIVOS,KIT COLOSTOMIA,P B S,KIT COLOSTOMIA,DMCOL,PBS 2021,199
100781134G5,BARRERA DE COLOSTOMIA FLEXIBLE 70 MM  (DMC),GENERICOS,ALTO COSTO,DISPOSITIVOS,KIT COLOSTOMIA,P B S,KIT COLOSTOMIA,DMCOL,PBS 2021,199
100895170G5,CIPROFLOXACINA (0.3%) 3.5 MG + HIDROCORTISONA (1%) 10 MG (/ML) SOLUCION OTICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA TOPICA,P B S,OTICOS,S01CA03,PBS 2021,199
100942275G5,CLORTALIDONA 12.5 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,CARDIOVASCULAR,C03BA04,PBS 2021,101
101088057G6,NUTRIBEN HIDROLIZADA 2   POLVO ORAL   LATA X 400 GR,COMERCIALES 1,NUTRICIONALES,NUTRICIONALES,POLVO,NO PBS,NUTRICIONALES,NUT,NO PBS,199
101138875G5,DAPSONA 100 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,ANTIINFECCIOSOS,J04BA02,MIXTO,199
101236775G5,FAMOTIDINA 10 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,SISTEMA DIGESTIVO,A02BA03,PBS 2021,199
10143866G5,ABATACEPT 125 MG/ML  SOLUCION INYECTABLE,GENERICOS,ALTO COSTO,MX_AP_ESP,HOSPITAL D A,P B S,REUMATOLOGIA,L04AA24,PBS 2021,199
101495675G5,SOLIFENACINA SUCCINATO 6 MG + TAMSULOSINA 0.4 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,UROLOGIA,G04CA53,PBS 2021,199
10158666G5,ABATACEPT 250 MG/ML  SOLUCION INYECTABLE,GENERICOS,ALTO COSTO,MX_AP_ESP,HOSPITAL D A,P B S,REUMATOLOGIA,L04AA24,PBS 2021,199
101652275G5,GLIBENCLAMIDA 2.5 MG + METFORMINA 500 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,DIABETES,A10BD02,PBS 2021,199
101895968G5,ALCOHOL POLIVINILICO 14 MG/ML  SOLUCION OFTALMICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA OFTALMICA,P B S,OFTALMICOS,S01XA20,INCLUSION 2022,199
101990857G6,PROWHEY   POLVO ORAL   LATA X 275 GR,COMERCIALES 1,NUTRICIONALES,NUTRICIONALES,POLVO,NO PBS,NUTRICIONALES,NUT,NO PBS,199
101990957G6,PROWHEY   POLVO ORAL   SOBRE X 30 GR,COMERCIALES 1,NUTRICIONALES,NUTRICIONALES,POLVO,NO PBS,NUTRICIONALES,NUT,NO PBS,199
102096057G6,WIPRO SM   POLVO ORAL   SOBRE X 40 GR,COMERCIALES 1,NUTRICIONALES,NUTRICIONALES,POLVO,NO PBS,NUTRICIONALES,NUT,NO PBS,199
